State,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
California,165833.3333,167591.6667,179708.3333,195275,224366.6667,253750,288975,343000,429041.6667,515800,549391.6667,514091.6667,417350,346550,336750,315508.3333,316841.6667,370408.3333,414100,441616.6667,474125,512991.6667,546680
Texas,93966.66667,94616.66667,98383.33333,104966.6667,113158.3333,110350,113683.3333,117000,123675,129250,133058.3333,138016.6667,136100,132016.6667,130933.3333,128108.3333,127583.3333,131275,138008.3333,147225,160400,175525,186730
New York,121166.6667,121183.3333,125058.3333,132325,142833.3333,154883.3333,172841.6667,196166.6667,223925,257408.3333,275450,278425,265016.6667,245425,236683.3333,225075,218908.3333,221333.3333,227550,231933.3333,241000,252641.6667,263590
Florida,88166.66667,90766.66667,94691.66667,101091.6667,109600,120750,132041.6667,146633.3333,171750,220650,261491.6667,246925,202800,160000,145150,132900,132700,143750,159191.6667,173866.6667,193383.3333,217166.6667,235030
Illinois,117211.1111,111125,118316.6667,125233.3333,133808.3333,142225,152050,160725,172833.3333,184583.3333,197241.6667,200391.6667,188516.6667,168016.6667,156308.3333,143491.6667,136091.6667,140116.6667,147050,153066.6667,159508.3333,167316.6667,176020
Pennsylvania,76588.88889,79183.33333,84008.33333,88125,90950,96925,104700,114650,126708.3333,138975,150041.6667,155100,153200,149433.3333,147683.3333,141450,138408.3333,140125,142666.6667,145858.3333,150575,158266.6667,167560
Ohio,83833.33333,86741.66667,91066.66667,95641.66667,100933.3333,106325,111008.3333,115975,120108.3333,123333.3333,124975,122933.3333,116691.6667,111766.6667,109483.3333,104191.6667,103091.6667,105141.6667,108858.3333,113091.6667,118358.3333,125950,133470
Michigan,76622.22222,82141.66667,90575,97583.33333,106133.3333,112975,118675,123258.3333,128475,134083.3333,134400,128125,113700,96050,87716.66667,82075,82433.33333,90341.66667,100000,109350,118916.6667,129483.3333,139500
Georgia,89744.44444,94266.66667,100883.3333,109958.3333,119300,127750,135200,140341.6667,146341.6667,151816.6667,159550,163291.6667,156208.3333,141558.3333,131783.3333,118750,111400,118950,130808.3333,139775,149858.3333,161175,175440
North Carolina,89833.33333,95558.33333,97050,105608.3333,112475,116183.3333,119541.6667,124275,131866.6667,137591.6667,146958.3333,153650,152625,147458.3333,143491.6667,137291.6667,135966.6667,137733.3333,141550,145875,153200,163950,174900
New Jersey,148166.6667,150200,154425,162783.3333,177133.3333,196925,227716.6667,265091.6667,303483.3333,349291.6667,381183.3333,374475,348766.6667,315341.6667,300691.6667,279333.3333,264833.3333,266833.3333,276800,279708.3333,284975,302491.6667,325210
Virginia,108688.8889,111691.6667,118391.6667,124450,132758.3333,141575,154683.3333,170233.3333,200441.6667,241991.6667,259475,260666.6667,242991.6667,223908.3333,216483.3333,206608.3333,206558.3333,213733.3333,219783.3333,224866.6667,232550,243133.3333,251600
Washington,139988.8889,144991.6667,154366.6667,162000,170716.6667,178050,185491.6667,195333.3333,218416.6667,256166.6667,296691.6667,312933.3333,295441.6667,265941.6667,249791.6667,228250,223558.3333,240158.3333,256216.6667,277733.3333,308600,344900,373540
Massachusetts,144722.2222,150808.3333,163308.3333,180900,209900,244641.6667,279225,314658.3333,344741.6667,370641.6667,362775,344675,320158.3333,304550,303725,291291.6667,288666.6667,304991.6667,322491.6667,335433.3333,353683.3333,381875,403850
Indiana,88988.88889,87841.66667,87041.66667,88525,93333.33333,100666.6667,103108.3333,104266.6667,105358.3333,112141.6667,116050,117808.3333,116525,110325,107850,105725,104675,104558.3333,106150,110200,116425,124325,133940
Arizona,105577.7778,111116.6667,118150,124425,130166.6667,137750,145425,154583.3333,172016.6667,232525,274833.3333,256016.6667,214058.3333,174150,156450,141075,150958.3333,174333.3333,188308.3333,199858.3333,216850,233250,249430
Tennessee,70255.55556,74150,78175,82308.33333,85458.33333,88466.66667,90791.66667,94058.33333,99366.66667,108466.6667,118075,123066.6667,121816.6667,117525,115550,111591.6667,110183.3333,112858.3333,118075,124300,133191.6667,145208.3333,156660
Missouri,82833.33333,88483.33333,93100,97608.33333,103050,109600,116158.3333,122508.3333,126416.6667,132100,137633.3333,139683.3333,136866.6667,132241.6667,128883.3333,123983.3333,121491.6667,123650,126150,130066.6667,136391.6667,143766.6667,153310
Maryland,132866.6667,133500,135508.3333,139591.6667,146708.3333,157166.6667,174358.3333,201116.6667,242575,300508.3333,337683.3333,337333.3333,304666.6667,267116.6667,250150,234033.3333,230816.6667,242083.3333,252116.6667,258350,266725,279616.6667,293460
Wisconsin,107422.2222,105158.3333,108250,115466.6667,122925,130333.3333,138816.6667,147400,158341.6667,156366.6667,159941.6667,161641.6667,158400,152550,148575,141466.6667,140183.3333,142966.6667,148741.6667,151750,159750,169925,179140
Minnesota,89333.33333,92283.33333,99391.66667,114016.6667,130225,148016.6667,165416.6667,179900,194391.6667,206733.3333,211158.3333,205991.6667,189491.6667,173100,166383.3333,153225,153066.6667,165633.3333,177116.6667,185983.3333,199050,215983.3333,229590
Colorado,130877.7778,135050,144283.3333,159825,180691.6667,200341.6667,210508.3333,216150,222275,230400,237458.3333,238475,230116.6667,224425,220891.6667,212641.6667,219300,235866.6667,255200,286641.6667,321091.6667,350883.3333,374470
Alabama,77777.77778,79291.66667,80033.33333,84291.66667,86358.33333,90158.33333,93208.33333,96758.33333,100908.3333,99200,106441.6667,111491.6667,109808.3333,104600,100733.3333,96016.66667,96725,105808.3333,110191.6667,112616.6667,116500,119566.6667,125710
South Carolina,76455.55556,83716.66667,89858.33333,92941.66667,100525,104291.6667,106508.3333,111566.6667,118775,127308.3333,136616.6667,141016.6667,138691.6667,133008.3333,129991.6667,123283.3333,121875,123775,126700,130083.3333,139033.3333,149783.3333,159540
Louisiana,67833.33333,70808.33333,78975,87141.66667,92375,92558.33333,90350,94458.33333,101883.3333,106108.3333,116108.3333,122041.6667,124000,125375,124800,120741.6667,118458.3333,120608.3333,123425,127166.6667,133700,140325,144860
Kentucky,70644.44444,73841.66667,78875,82525,86641.66667,91825,96775,101883.3333,106516.6667,109308.3333,114066.6667,115450,114700,113391.6667,114608.3333,112108.3333,110366.6667,111925,114016.6667,117625,123666.6667,131866.6667,139390
Oregon,126222.2222,131816.6667,133308.3333,138975,144783.3333,151691.6667,158533.3333,167525,182533.3333,216241.6667,260525,266691.6667,252358.3333,229700,215966.6667,196741.6667,195900,213200,232416.6667,253783.3333,285683.3333,316666.6667,336610
Oklahoma,61055.55556,58200,60858.33333,63650,68241.66667,71033.33333,74125,77550,81216.66667,84233.33333,88775,92283.33333,95183.33333,96383.33333,96966.66667,94500,93525,94191.66667,95741.66667,98775,106400,114533.3333,120110
Connecticut,138977.7778,139916.6667,144758.3333,155075,167100,182250,202808.3333,231483.3333,260291.6667,290450,301950,296225,278325,257950,251158.3333,236800,226933.3333,229183.3333,233091.6667,233075,235833.3333,243408.3333,252850
Iowa,62211.11111,65725,71425,75600,79325,83891.66667,88333.33333,91816.66667,96350,102825,106241.6667,110183.3333,111891.6667,111816.6667,112500,110808.3333,112333.3333,115575,119000,123783.3333,128658.3333,134850,140000
Mississippi,71355.55556,71941.66667,72083.33333,71225,71175,67816.66667,69233.33333,69941.66667,73125,93900,108300,115541.6667,112525,109800,115266.6667,109866.6667,103833.3333,100866.6667,97866.66667,103566.6667,110541.6667,115425,120940
Arkansas,61366.66667,62233.33333,66066.66667,68308.33333,71208.33333,74116.66667,76333.33333,80233.33333,84908.33333,92500,99791.66667,102291.6667,101616.6667,98941.66667,97258.33333,94391.66667,93941.66667,97166.66667,99908.33333,103433.3333,109458.3333,115408.3333,121200
Kansas,65211.11111,73925,83458.33333,88516.66667,91458.33333,95175,98866.66667,101033.3333,106433.3333,112958.3333,113533.3333,118066.6667,117975,116066.6667,114791.6667,110608.3333,108875,109633.3333,112691.6667,115850,121533.3333,129116.6667,134530
Utah,148388.8889,149858.3333,153316.6667,154383.3333,161241.6667,165808.3333,167625,170108.3333,171200,177691.6667,198758.3333,233733.3333,246725,231850,214766.6667,198991.6667,197450,213141.6667,229183.3333,240791.6667,259416.6667,283991.6667,315880
Nevada,134633.3333,136466.6667,139466.6667,142300,148783.3333,157366.6667,169350,187225,253066.6667,314800,326341.6667,298375,238258.3333,179275,156400,139641.6667,140316.6667,168891.6667,195116.6667,213466.6667,231600,255225,284710
New Mexico,113966.6667,116275,118158.3333,122525,124758.3333,133400,138500,142508.3333,153641.6667,150391.6667,170125,182925,183150,177333.3333,172658.3333,161491.6667,155150,154550,156725,161491.6667,167508.3333,175116.6667,186170
