Year,California,Texas,New York,Florida,Illinois,Pennsylvania,Ohio,Michigan,Georgia,North Carolina,New Jersey,Virginia,Washington,Massachusetts,Indiana,Arizona,Tennessee,Missouri,Maryland,Wisconsin,Minnesota,Colorado,Alabama,South Carolina,Louisiana,Kentucky,Oregon,Oklahoma,Connecticut,Iowa,Mississippi,Arkansas,Kansas,Utah,Nevada,New Mexico,West Virginia,Nebraska,Idaho,Hawaii,Maine,New Hampshire,Rhode Island,Montana,Delaware,South Dakota,Alaska,Vermont,District of Columbia,0,mortRate,DJI_Open,DJI_High,DJI_Low,DJI_Close
1996,165833.3333,93966.66667,121166.6667,88166.66667,117211.1111,76588.88889,83833.33333,76622.22222,89744.44444,89833.33333,148166.6667,108688.8889,139988.8889,144722.2222,88988.88889,105577.7778,70255.55556,82833.33333,132866.6667,107422.2222,89333.33333,130877.7778,77777.77778,76455.55556,67833.33333,70644.44444,126222.2222,61055.55556,138977.7778,62211.11111,71355.55556,61366.66667,65211.11111,148388.8889,134633.3333,113966.6667,49166.66667,76922.22222,100255.5556,238300,84688.88889,105122.2222,117677.7778,134422.2222,107055.5556,43022.22222,130733.3333,88211.11111,120488.8889,130477.7778,7.966666667,5780.166667,5994.317763,5633.614366,5877.058919
1997,167591.6667,94616.66667,121183.3333,90766.66667,111125,79183.33333,86741.66667,82141.66667,94266.66667,95558.33333,150200,111691.6667,144991.6667,150808.3333,87841.66667,111116.6667,74150,88483.33333,133500,105158.3333,92283.33333,135050,79291.66667,83716.66667,70808.33333,73841.66667,131816.6667,58200,139916.6667,65725,71941.66667,62233.33333,73925,149858.3333,136466.6667,116275,50466.66667,79658.33333,110433.3333,229808.3333,83575,108591.6667,118091.6667,134416.6667,109408.3333,48866.66667,136333.3333,87266.66667,125508.3333,130433.3333,7.563333333,7317.334147,7685.73584,7075.153361,7437.575765
1998,179708.3333,98383.33333,125058.3333,94691.66667,118316.6667,84008.33333,91066.66667,90575,100883.3333,97050,154425,118391.6667,154366.6667,163308.3333,87041.66667,118150,78175,93100,135508.3333,108250,99391.66667,144283.3333,80033.33333,89858.33333,78975,78875,133308.3333,60858.33333,144758.3333,71425,72083.33333,66066.66667,83458.33333,153316.6667,139466.6667,118158.3333,54425,81191.66667,117508.3333,231525,88516.66667,118316.6667,121900,134383.3333,113291.6667,60125,145275,92133.33333,132508.3333,128466.6667,6.953333333,8506.283366,8912.745809,8196.710002,8610.202352
1999,195275,104966.6667,132325,101091.6667,125233.3333,88125,95641.66667,97583.33333,109958.3333,105608.3333,162783.3333,124450,162000,180900,88525,124425,82308.33333,97608.33333,139591.6667,115466.6667,114016.6667,159825,84291.66667,92941.66667,87141.66667,82525,138975,63650,155075,75600,71225,68308.33333,88516.66667,154383.3333,142300,122525,56916.66667,96316.66667,119583.3333,237183.3333,95816.66667,128650,128675,134391.6667,117466.6667,78250,155075,100383.3333,142125,131616.6667,7.4525,10281.64583,10806.04647,10052.71411,10474.77677
2000,224366.6667,113158.3333,142833.3333,109600,133808.3333,90950,100933.3333,106133.3333,119300,112475,177133.3333,132758.3333,170716.6667,209900,93333.33333,130166.6667,85458.33333,103050,146708.3333,122925,130225,180691.6667,86358.33333,100525,92375,86641.66667,144783.3333,68241.66667,167100,79325,71175,71208.33333,91458.33333,161241.6667,148783.3333,124758.3333,58366.66667,108766.6667,122483.3333,246133.3333,109391.6667,146425,140966.6667,134383.3333,123658.3333,82358.33333,158083.3333,109133.3333,153633.3333,137666.6667,8.025,10745.70076,11156.50171,10232.39315,10688.04248
2001,253750,110350,154883.3333,120750,142225,96925,106325,112975,127750,116183.3333,196925,141575,178050,244641.6667,100666.6667,137750,88466.66667,109600,157166.6667,130333.3333,148016.6667,200341.6667,90158.33333,104291.6667,92558.33333,91825,151691.6667,71033.33333,182250,83891.66667,67816.66667,74116.66667,95175,165808.3333,157366.6667,133400,60925,96833.33333,125533.3333,261241.6667,125558.3333,167816.6667,159308.3333,137675,134558.3333,92933.33333,183550,116825,172025,148233.3333,7.008333333,10204.61922,10635.18254,9651.259847,10139.92668
2002,288975,113683.3333,172841.6667,132041.6667,152050,104700,111008.3333,118675,135200,119541.6667,227716.6667,154683.3333,185491.6667,279225,103108.3333,145425,90791.66667,116158.3333,174358.3333,138816.6667,165416.6667,210508.3333,93208.33333,106508.3333,90350,96775,158533.3333,74125,202808.3333,88333.33333,69233.33333,76333.33333,98866.66667,167625,169350,138500,62458.33333,95550,125716.6667,284550,138708.3333,189783.3333,189216.6667,144350,144850,99166.66667,199191.6667,127233.3333,200925,152700,6.505,9320.785889,9644.758382,8710.377604,9180.964152
2003,343000,117000,196166.6667,146633.3333,160725,114650,115975,123258.3333,140341.6667,124275,265091.6667,170233.3333,195333.3333,314658.3333,104266.6667,154583.3333,94058.33333,122508.3333,201116.6667,147400,179900,216150,96758.33333,111566.6667,94458.33333,101883.3333,167525,77550,231483.3333,91816.66667,69941.66667,80233.33333,101033.3333,170108.3333,187225,142508.3333,69100,100375,130233.3333,335566.6667,154675,217375,230225,144416.6667,161650,98300,208083.3333,139800,254858.3333,157058.3333,5.821666667,8842.228353,9257.361613,8656.715902,9017.915812
2004,429041.6667,123675,223925,171750,172833.3333,126708.3333,120108.3333,128475,146341.6667,131866.6667,303483.3333,200441.6667,218416.6667,344741.6667,105358.3333,172016.6667,99366.66667,126416.6667,242575,158341.6667,194391.6667,222275,100908.3333,118775,101883.3333,106516.6667,182533.3333,81216.66667,260291.6667,96350,73125,84908.33333,106433.3333,171200,253066.6667,153641.6667,71883.33333,109358.3333,137191.6667,427316.6667,176350,242591.6667,269716.6667,144775,187866.6667,116058.3333,224808.3333,155500,323233.3333,174525,5.835833333,10297.82332,10531.17912,10069.06095,10325.96582
2005,515800,129250,257408.3333,220650,184583.3333,138975,123333.3333,134083.3333,151816.6667,137591.6667,349291.6667,241991.6667,256166.6667,370641.6667,112141.6667,232525,108466.6667,132100,300508.3333,156366.6667,206733.3333,230400,99200,127308.3333,106108.3333,109308.3333,216241.6667,84233.33333,290450,102825,93900,92500,112958.3333,177691.6667,314800,150391.6667,79575,115966.6667,152691.6667,542566.6667,198025,265616.6667,297041.6667,156450,215283.3333,125283.3333,249758.3333,176591.6667,391725,161250,5.870833333,10534.5293,10761.57902,10309.53003,10529.12842
